Circuit,Year,Laps,Lap Length,Soft,Medium,Hard,Traction,Tyre Stress,Asphalt Grip,Asphalt Abrasion,Track Evolution,Breaking,Lateral,Downforce
Bahrain,2024,57,5.412,C3,C2,C1,     4,  3,  4,  5,  4,  4,  3,  3
Saudi Arabia,2024,50,6.174,C4,C3,C2,2,  3,  4,  2,  4,  2,  3,  2
Australia,2024,58,5.278,C5,C4,C3,   2,  3,  3,  2,  4,  2,  3,  3
Japan,2024,53,5.807,C3,C2,C1,       3,  5,  3,  4,  3,  2,  5,  4
China,2024,56,5.451,C4,C3,C2,       3,  4,  2,  4,  5,  4,  4,  3
Miami,2024,57,5.412,C4,C3,C2,       3,  3,  3,  2,  5,  3,  3,  2
Imola,2024,63,4.909,C5,C4,C3,       2,  3,  2,  3,  2,  3,  3,  3
Monaco,2024,78,3.337,C5,C4,C3,      5,  1,  1,  1,  5,  2,  1,  5
Canada,2024,70,4.361,C5,C4,C3,	    5,	3,	1,	1,	5,	5,	1,	1
Spain,2024,66,4.657,C3,C2,C1,	    3,	5,	3,	4,	3,	3,	5,	4
Austria,2024,71,4.318,C5,C4,C3,	    2,	3,	3,	4,	3,	3,	3,	3
Silverstone,2024,52,5.891,C3,C2,C1,	3,	5,	4,	2,	2,	2,	5,	4
Hungary,2024,70,4.381,C5,C4,C3,	    4,	3,	2,	2,	4,	3,	3,	5
Belgium,2024,44,7.004,C4,C3,C2,	    4,	5,	4,	4,	3,	4,	5,	2
Zandvoort,2024,72,4.259,C3,C2,C1,	4,	5,	3,	3,	4,	3,	4,	4
Monza,2024,53,5.793,C5,C4,C3,	    3,	3,	4,	2,	4,	4,	2,	1
Baku,2024,51,6.003,C5,C4,C3,	    5,	3,	2,	1,	5,	4,	1,	2
Singapore,2024,62,4.94,C5,C4,C3,	4,	2,	3,	3,	5,	5,	2,	5
Austin,2024,56,5.513,C4,C3,C2,	    4,	4,	3,	3,	4,  3,  4,  4
Mexico,2024,71,4.304,C5,C4,C3,	    3,	2,	2,  2,  5,  3,  2,  5
Brazil,2024,71,4.309,C5,C4,C3,      3,  3,  3,  2,  5,  3,  3,  4
Las vegas,2024,50,6.201,C5,C4,C3,	2,	4,	1,	2,	5,	3,	2,	1
Qatar,2024,57,5.419,C3,C2,C1,       3,	5,	3,	2,	4,	3,	5,	4
Abu Dhabi,2024,58,5.281,C5,C4,C3,	4,	3,	3,	3,	4,	4,	3,	3
Australia,2025,58,5.278,C5,C4,C3,	2,	3,	2,	2,	3,	2,	3,	3
China,2025,56,5.451,C4,C3,C2,	    3,	4,	3,	3,	5,	4,	4,	3
Japan,2025,53,5.807,C3,C2,C1,	    3,	5,	4,	4,	3,	2,	5,	4
Bahrain,2025,57,5.412,C3,C2,C1,	    4,	3,	3,	5,	4,	4,	3,	3
Saudi Arabia,2025,50,6.174,C5,C4,C3,	2,	3,	4,	2,	4,	3,	4,	2
Miami,2025,57,5.412,C5,C4,C3,	    3,	3,	4,	2,	5,	3,	3,	3
Imola,2025,63,4.909,C6,C5,C4,	    2,	3,	2,	2,	2,	3,	3,	3
Monaco,2025,78,3.337,C6,C5,C4,	    5,	1,	2,	1,	5,	2,	1,	5
Spain,2025,66,4.657,C3,C2,C1,	    3,	5,	3,	4,	3,	3,	5,	4
Canada,2025,70,4.361,C6,C5,C4,	    4,	3,	2,	1,	5,	5,	1,	1
Austria,2025,71,4.318,C5,C4,C3,	    2,	3,	3,	3,	3,	3,	3,	3
Silverstone,2025,52,5.891,C4,C3,C2,	3,	5,	4,	2,	2,	2,	5,	4
Belgium,2025,44,7.004,C4,C3,C2,     4,  5,  3,  3,  3,  4,  5,  2
Hungary,2025,70,4.381,C5,C4,C3,	    4,	3,	3,	3,	4,	3,	3,	5
Zandvoort,2025,72,4.259,C4,C3,C2,	3,	5,	3,	3,	4,	3,	4,	4
Monza,2025,53,5.793,C5,C4,C3,	    3,	3,	3,	2,	4,	4,	2,	1
Baku,2025,51,6.003,C6,C5,C4,        5,	3,	2,	1,	5,	4,	1,	2
Singapore,2025,62,4.94,C5,C4,C3,	4,	2,	3,	3,	5,	5,	2,	5
Austin,2025,56,5.513,C4,C3,C1,      4,  4,  3,  3,  4,  3,  4,  4
Mexico,2025,71,4.304,C5,C4,C3,      3,  2,  2,  2,  5,  3,  2,  5
Brazil,2025,71,4.309,C4,C3,C2,      3,  3,  3,  2,  5,  3,  3,  4
Las Vegas,2025													
Qatar,2025													
Abu Dhabi,2025													